interface_id,transporter_gene,preferred_name,target_label,published_label_for_trace,target_role,evidence_tier,source_database,source_origin,sample_weight,standardization_key,standardized_inchikey,standardized_isomeric_smiles,standardized_connectivity_smiles,murcko_scaffold_smiles,std_molecular_weight,std_xlogp,std_tpsa,std_hbond_donor_count,std_hbond_acceptor_count,std_rotatable_bond_count,std_formal_charge,std_heavy_atom_count,source_record_id,source_url,claim_boundary,preferred_name_normalized,input_standardized_inchikey,derived_standardized_inchikey,derived_isomeric_smiles,derived_connectivity_smiles,standardizer_reproduced_inchikey,inchikey_reproduction_status,exact_scaffold_group,generic_scaffold_group
CAND::T10_AUD_00551,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,NOZZORCJVZKEHP-UHFFFAOYSA-N,NOZZORCJVZKEHP-UHFFFAOYSA-N,O=C(Nc1cnccc1OCCO)c1ccnc(NC(=O)C2CC2)c1,,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,342.355,1.4485,113.44,,,,,,T10_AUD_00551,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,NOZZORCJVZKEHP-UHFFFAOYSA-N,NOZZORCJVZKEHP-UHFFFAOYSA-N,O=C(Nc1cnccc1OCCO)c1ccnc(NC(=O)C2CC2)c1,O=C(Nc1cnccc1OCCO)c1ccnc(NC(=O)C2CC2)c1,NOZZORCJVZKEHP-UHFFFAOYSA-N,match,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,CC(CC1CCCC(C(C)CC2CCCCC2)C1)C1CC1
CAND::T10_AUD_00552,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,PZXYXEIZRAWOMB-UHFFFAOYSA-N,PZXYXEIZRAWOMB-UHFFFAOYSA-N,O=C(Nc1sc2c(c1C(=O)N1CCC(CO)C1)CCCC2)c1cccnc1,,O=C(Nc1sc2c(c1C(=O)N1CCCC1)CCCC2)c1cccnc1,385.489,2.7286,82.53,,,,,,T10_AUD_00552,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,PZXYXEIZRAWOMB-UHFFFAOYSA-N,PZXYXEIZRAWOMB-UHFFFAOYSA-N,O=C(Nc1sc2c(c1C(=O)N1CCC(CO)C1)CCCC2)c1cccnc1,O=C(Nc1sc2c(c1C(=O)N1CCC(CO)C1)CCCC2)c1cccnc1,PZXYXEIZRAWOMB-UHFFFAOYSA-N,match,O=C(Nc1sc2c(c1C(=O)N1CCCC1)CCCC2)c1cccnc1,CC(CC1CC2CCCCC2C1C(C)C1CCCC1)C1CCCCC1
CAND::T10_AUD_00553,ABCB1,,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,MMLSVCZRWKOLHZ-UHFFFAOYSA-N,MMLSVCZRWKOLHZ-UHFFFAOYSA-N,O=C(Nc1sc2c(c1C(=O)NC1CCC(O)CC1)CCCC2)c1cccnc1,,O=C(Nc1sc2c(c1C(=O)NC1CCCCC1)CCCC2)c1cccnc1,399.516,3.3075,91.32,,,,,,T10_AUD_00553,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,MMLSVCZRWKOLHZ-UHFFFAOYSA-N,MMLSVCZRWKOLHZ-UHFFFAOYSA-N,O=C(Nc1sc2c(c1C(=O)NC1CCC(O)CC1)CCCC2)c1cccnc1,O=C(Nc1sc2c(c1C(=O)NC1CCC(O)CC1)CCCC2)c1cccnc1,MMLSVCZRWKOLHZ-UHFFFAOYSA-N,match,O=C(Nc1sc2c(c1C(=O)NC1CCCCC1)CCCC2)c1cccnc1,CC(CC1CC2CCCCC2C1C(C)CC1CCCCC1)C1CCCCC1
CAND::T10_AUD_00554,ABCB1,,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,KXABUJUPZGFFHI-FCUFGPLSSA-N,KXABUJUPZGFFHI-FCUFGPLSSA-N,O=C(O)/C=C(/C(=O)O)N1CCN2C[C@H](c3ccc(Cl)cc3)c3ccccc3C21,,c1ccc(C2CN3CCNC3c3ccccc32)cc1,398.846,3.1548,81.08,,,,,,T10_AUD_00554,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,KXABUJUPZGFFHI-FCUFGPLSSA-N,KXABUJUPZGFFHI-FCUFGPLSSA-N,O=C(O)/C=C(/C(=O)O)N1CCN2C[C@H](c3ccc(Cl)cc3)c3ccccc3C21,O=C(O)C=C(C(=O)O)N1CCN2CC(c3ccc(Cl)cc3)c3ccccc3C21,KXABUJUPZGFFHI-FCUFGPLSSA-N,match,c1ccc(C2CN3CCNC3c3ccccc32)cc1,C1CCC(C2CC3CCCC3C3CCCCC23)CC1
CAND::T10_AUD_00555,ABCB1,ALPHA-KETOGLUTARIC ACID,1,1,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(O)CCC(=O)C(=O)O,,,146.098,-0.4951,91.67,,,,,,T10_AUD_00555,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,ALPHA-KETOGLUTARIC ACID,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,match,ACYCLIC::KPGXRSRHYNQIFN-UHFFFAOYSA-N,ACYCLIC::KPGXRSRHYNQIFN-UHFFFAOYSA-N
CAND::T10_AUD_00557,ABCB1,SALICYLIC ACID,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,YGSDEFSMJLZEOE-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,O=C(O)c1ccccc1O,,c1ccccc1,138.122,1.0904,57.53,,,,,,T10_AUD_00557,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,SALICYLIC ACID,YGSDEFSMJLZEOE-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,O=C(O)c1ccccc1O,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,match,c1ccccc1,C1CCCCC1
CAND::T10_AUD_00558,ABCB1,CIPROFLOXACIN,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,MYSWGUAQZAJSOK-UHFFFAOYSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,331.347,1.5833,74.57,,,,,,T10_AUD_00558,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,CIPROFLOXACIN,MYSWGUAQZAJSOK-UHFFFAOYSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,match,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,CC1CCC(C2CC2)C2CC(C3CCCCC3)CCC12
CAND::T10_AUD_00559,ABCB1,,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,CRFTYPZVLZZIHU-OEMAIJDKSA-N,CRFTYPZVLZZIHU-OEMAIJDKSA-N,O=C(c1ccc(C2C[C@H]2NCC2CC2)cc1)N1CC(F)C1,,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CCC1,288.366,2.336,32.34,,,,,,T10_AUD_00559,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,CRFTYPZVLZZIHU-OEMAIJDKSA-N,CRFTYPZVLZZIHU-OEMAIJDKSA-N,O=C(c1ccc(C2C[C@H]2NCC2CC2)cc1)N1CC(F)C1,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CC(F)C1,CRFTYPZVLZZIHU-OEMAIJDKSA-N,match,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CCC1,CC(C1CCC1)C1CCC(C2CC2CCC2CC2)CC1
CAND::T10_AUD_00560,ABCB1,,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,JELFJCHCBUKLFJ-QRWMCTBCSA-N,JELFJCHCBUKLFJ-QRWMCTBCSA-N,O=C(c1ccc(C2C[C@H]2NCC2CC2)cc1)N1CCC(F)CC1,,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CCCCC1,316.42,3.1162,32.34,,,,,,T10_AUD_00560,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,JELFJCHCBUKLFJ-QRWMCTBCSA-N,JELFJCHCBUKLFJ-QRWMCTBCSA-N,O=C(c1ccc(C2C[C@H]2NCC2CC2)cc1)N1CCC(F)CC1,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CCC(F)CC1,JELFJCHCBUKLFJ-QRWMCTBCSA-N,match,O=C(c1ccc(C2CC2NCC2CC2)cc1)N1CCCCC1,CC(C1CCCCC1)C1CCC(C2CC2CCC2CC2)CC1
CAND::T10_AUD_00562,ABCB1,,0,0,candidate_supervised,B_author_curated_no_row_primary_assay,ChEMBL,Daood author-curated ChEMBL records,1.0,YWFDAAMTUBHJGI-UHFFFAOYSA-N,YWFDAAMTUBHJGI-UHFFFAOYSA-N,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,401.426,3.2128,93.23,,,,,,T10_AUD_00562,https://pmc.ncbi.nlm.nih.gov/articles/PMC12587445/,author-curated candidate; not Tier A direct assay truth,,YWFDAAMTUBHJGI-UHFFFAOYSA-N,YWFDAAMTUBHJGI-UHFFFAOYSA-N,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,YWFDAAMTUBHJGI-UHFFFAOYSA-N,match,O=C(c1ccc(Oc2nccnc2N2CCOCC2)cc1)c1nc2ccccc2[nH]1,CC(C1CCC(CC2CCCCC2C2CCCCC2)CC1)C1CC2CCCCC2C1
